Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area,
62524882,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Lindesnäs,1429308,6691253,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1,
62525256,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,"Bysjön, Klackviken",1428210,6695710,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [947],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1,
78962923,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad, , , ,,,, ,,Älgsjöklinten,1419131,6669075,25,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,Barrskog i branter,,,,,,,,,,,,, ,,,,,,,Staffan Jansson,Staffan Jansson,"Lena Stigsdotter, Staffan Jansson",,Dalafloran inventeringsläger 2019,1,
78979240,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad, , , ,,,, ,,Håen,1424076,6674875,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,betesmark,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1,
4937941,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,1,,,,,,,,,Avesta-Krylbo,1522714,6668243,250,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-06-16,,2009-06-16,,Inventering i järrnvägsmiljöer,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
4949253,91667,Godkänd baserat på observatörens uppgifter,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Svartvik 2 km NO Ängelsberg,1512661,6651600,100,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,Strandnära skog,,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Anne Höglund, Lise-Lotte Norin, Einar Marklund",,,2,
4956721,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,100,,,,,,,,,Avesta uppföljning S nr 3,1523098,6667296,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-15,,2012-07-15,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
4957508,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,1,,,,,,,,,Avesta-sandhögarna,1522714,6668243,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-28,,2012-07-28,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
6848043,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Grönvallen vid väg 70,1517548,6674218,25,0,Dalarna,Avesta,Dalarna,Grytnäs,,2013-07-05,,2013-07-05,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Hans Rydberg,Hans Rydberg,Hans Rydberg,,,2,
17334812,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Hökmora,1519632,6658872,200,0,Västmanland,Norberg,Västmanland,Karbenning,,1988-07-13,,1988-07-13,,"Källa: Ängs- och hagmarksinventering Norberg kommun (Lars-Thure Nordin). Länsstyrelsen i Västmanlands län 1992, Nr 5:8. [Mittpunktskoordinat för hagmarksobjekt]",,False,False,,False,,Öppen hage,,,,,,,,,,,, ,,,,,,,Botaniska Föreningen i Västmanlands län,Einar Marklund,,,Västmanlands flora – länsstyrelserapporter,2,
17334820,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Årnebo,1495789,6657169,200,0,Västmanland,Norberg,Västmanland,Norberg,,1988-08-10,,1988-08-10,,"Källa: Ängs- och hagmarksinventering Norberg kommun (Lars-Thure Nordin). Länsstyrelsen i Västmanlands län 1992, Nr 5:8. [Mittpunktskoordinat för hagmarksobjekt]",,False,False,,False,,Annan träd- och buskbärande hagmark.,,,,,,,,,,,, ,,,,,,,Botaniska Föreningen i Västmanlands län,Einar Marklund,,,Västmanlands flora – länsstyrelserapporter,2,
62267952,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Avesta Döda fallen,1521680,6669660,100,0,Dalarna,Avesta,Dalarna,Avesta,,2015-07-12,,2015-07-12,,Dalafloran [980]   Dabs inv.,,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Janet Jandér, Urban Gunnarsson, Inge Palmqvist",,Dalaflorans databas,2,
62268536,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Krylbo,1523038,6667305,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2015-08-02,,2015-08-02,,Dalafloran [982]   Dabs inv.,,False,False,,False,,järnvägsområde,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Janet Jandér, Sören Nyström, Inge Palmqvist",,Dalaflorans databas,2,
62351485,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Krylbo jvgstn.,1523050,6667150,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-01-01,,2009-12-31,,Dalafloran [113],,False,False,,False,,järnvägsområde,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Anna Knöppel,,Dalaflorans databas,2,
72215810,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,"Ombenning, vägkant och runt lada ca 500 m S om byn",1508731,6650799,25,0,Västmanland,Fagersta,Västmanland,Västervåla,,2018-07-09,,2018-07-09,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Anders Jacobson,Anders Jacobson,Anders Jacobson,,,2,
73009177,91667,Godkänd baserat på observatörens uppgifter,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,"Ombenning, skogsväg N om",1507621,6652351,749,0,Västmanland,Fagersta,Västmanland,Västervåla,,2018-09-05,,2018-09-05,,,,False,False,,False,,"Skogsväg, skogsvägkant",,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Lise-Lotte Norin, Einar Marklund",,,2,
73185350,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,i frukt,,,,,,,"Hökmora, VNV om",1519192,6660290,10,0,Västmanland,Norberg,Västmanland,Karbenning,,2018-09-16,,2018-09-16,,,,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Bo Eriksson,Bo Eriksson,Bo Eriksson,,,2,
98080113,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,AVK:Klarälvsbanan,1372253,6589844,58,0,Värmland,Karlstad,Värmland,Karlstad,,2021-06-23,,2021-06-23,,"Frekvens: Måttlig, kantarytterslänt",,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Greensway AB,Charles Campbell,"Adam Trapp, Charles Campbell",,Artrika vägkanter i Karlstads Kommun,3,
62366199,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Atlasruta 14E 5h  Orsa,1437500,6777500,2500,0,Dalarna,Orsa,Dalarna,Orsa,,1986-01-01,,1986-12-31,,Dalafloran [463],,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Jan Edelsjö,,Dalaflorans databas,4,
98105637,91667,Ovaliderad,,Fårsvingel,Festuca ovina,L.,noterad,,,,,,,,,Orsa,1436623,6777029,25,0,Dalarna,Orsa,Dalarna,Orsa,,2021-07-01,,2021-07-01,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Per Toräng,Per Toräng,Per Toräng,,Adb inventering slåtterängar 2020-2021,4,
