Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area,
62524870,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Lindesnäs,1429372,6691066,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [943],,False,False,,False,,ängsmark,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1,
62525223,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,"Bysjön, Klackviken",1428210,6695710,100,0,Dalarna,Vansbro,Dalarna,Nås,,2015-08-20,,2015-08-20,,Dalafloran [947],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Inge Palmqvist,,Dalaflorans databas,1,
78944855,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad, ,blomning, ,,,,observerad,,"Vattrangi, block",1416696,6663429,25,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-14,,2019-07-14,,,,False,False, ,False,,Skogsbryn,,,,,,,,,,,, ,,,,,,,Ulf Swenson,Ulf Swenson,"Mats Nordhag, Johanne Maad, Ulf Swenson",,Dalafloran inventeringsläger 2019,1,
78949404,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad, , , ,,,, ,,Frösaråsen,1426215,6679014,50,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-15,,2019-07-15,,,,False,False, ,False,,"betesmark, vägkant och dike",,,,,,,,,,,, ,,,,,,,Johanne Maad,Johanne Maad,"Ulf Swenson, Mats Nordhag, Johanne Maad",,Dalafloran inventeringsläger 2019,1,
78960127,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad, , , ,,,, ,,"Fredriksbergt, sydvästra delen",1420330,6670180,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant i samhället,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1,
78960221,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad, , , ,,,, ,,"Fredriksbergt, sydvästra delen",1420330,6670180,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant i samhället,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Mats Nordhag, Janet Jandér",,Dalafloran inventeringsläger 2019,1,
78978741,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad, , , ,,,, ,,Håen,1424087,6674932,100,0,Dalarna,Ludvika,Dalarna,Säfsnäs,,2019-07-16,,2019-07-16,,,,False,False, ,False,,vägkant,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,"Thorleif Joelson, Ulf Swenson, Urban Gunnarsson",,Dalafloran inventeringsläger 2019,1,
80728032,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,"Finnmarsleden, Äskmyren",1427470,6681150,100,0,Dalarna,Vansbro,Dalarna,Nås,,2019-07-14,,2019-07-21,,Dalafloran [1234],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Janet Jandér,,Dalaflorans databas,1,
97086992,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad, , , ,,,, ,,Lindesnäs,1430217,6690483,50,0,Dalarna,Vansbro,Dalarna,Nås,,2021-07-23,,2021-07-23,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Håkan Lernefalk,Håkan Lernefalk,Håkan Lernefalk,,,1,
3736994,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,1,,,,,,,,,Avesta-Krylbo,1522714,6668243,250,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-06-16,,2009-06-16,,Inventering i järrnvägsmiljöer,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3736998,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,1,,,,,,,,,Fagersta,1498351,6654390,250,0,Västmanland,Fagersta,Västmanland,Fagersta,,2009-06-17,,2009-06-17,,Inventering i järrnvägsmiljöer norra,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3736999,93468,Godkänd baserat på observatörens uppgifter,,Rödklöver,Trifolium pratense,L.,1,,,,,,,,,Fagersta,1498351,6654390,250,0,Västmanland,Fagersta,Västmanland,Fagersta,,2009-06-17,,2009-06-17,,Inventering i järrnvägsmiljöer södra,,False,False,,False,,,,,,,,,,,,,, ,inget id,Anna Knöppel,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3761676,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Svartvik 2 km NO Ängelsberg,1512666,6651180,250,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,Längs brukningsväg,,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Lise-Lotte Norin, Anne Höglund, Einar Marklund",,,2,
3761670,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Engelsbergs bruk mot Snyten,1511475,6650375,500,0,Västmanland,Fagersta,Västmanland,Västervåla,,2011-06-11,,2011-06-11,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Lars Carlsson,Lars Carlsson,"Sten Mu Yu Widhe, Lars Carlsson",,,2,
3790078,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,2,,,,,,,,,Avesta uppföljning S nr 1,1523147,6667259,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-03,,2012-07-03,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3790077,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,50,,,,,,,,,Avesta uppföljning S nr 2,1523119,6667276,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-03,,2012-07-03,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3790076,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,40,,,,,,,,,Avesta uppföljning N,1522688,6668313,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-03,,2012-07-03,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3793539,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,12,,,,,,,,,Avesta uppföljning S nr 4,1523069,6667317,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-15,,2012-07-15,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3793542,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,1,,,,,,,,,Avesta uppföljning S nr 1,1523147,6667259,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-15,,2012-07-15,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3793540,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,80,,,,,,,,,Avesta uppföljning S nr 3,1523098,6667296,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-15,,2012-07-15,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
3793541,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,40,,,,,,,,,Avesta uppföljning S nr 2,1523119,6667276,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2012-07-15,,2012-07-15,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
6849424,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Grönvallen vid väg 70,1517548,6674218,25,0,Dalarna,Avesta,Dalarna,Grytnäs,,2013-07-05,,2013-07-05,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Hans Rydberg,Hans Rydberg,Hans Rydberg,,,2,
16941121,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,1,,,,,,,,,Avesta-S,1522714,6668243,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2014-07-02,,2014-07-02,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,"Daniel Segerlind, Magnus Stenmark",,,2,
16941161,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,3,,,,,,,,,Avesta S (sandhögarna),1523071,6667288,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2014-07-02,,2014-07-02,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,"Daniel Segerlind, Magnus Stenmark",,,2,
16941162,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,3,,,,,,,,,Avesta S (sandhögarna),1523071,6667288,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2014-07-24,,2014-07-24,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,"Daniel Segerlind, Magnus Stenmark",,,2,
16941163,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,60,,,,,,,,,Avesta-S,1522714,6668243,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2014-07-02,,2014-07-02,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,"Daniel Segerlind, Magnus Stenmark",,,2,
16941164,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,100,,,,,,,,,Avesta-S,1522714,6668243,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2014-07-02,,2014-07-02,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,"Daniel Segerlind, Magnus Stenmark",,,2,
16941165,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,4000,,,,,,,,,Avesta-N,1522714,6668243,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2014-07-02,,2014-07-02,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Magnus Stenmark,Magnus Stenmark,"Daniel Segerlind, Magnus Stenmark",,,2,
53697056,93468,Godkänd baserat på observatörens uppgifter,,Rödklöver,Trifolium pratense,L.,noterad,,fullt utvecklade blad,,,,,,,"Källbo, väst 0,45 km",1514062,6654622,10,0,Västmanland,Norberg,Västmanland,Karbenning,,2015-05-29,,2015-05-29,,,,False,False,,False,,"Gräsmark som buskröjs parallellt riksväg, intill lite grusplan",,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,Bengt Stridh,,,2,
54731395,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,blomning,,,,,,,Semla slamdeponi,1497985,6655636,50,0,Västmanland,Fagersta,Västmanland,Fagersta,,2015-08-05,,2015-08-05,,,,False,False,,False,,Längs grusväg på kulle,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,Bengt Stridh,,,2,
59725403,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,"Risbroskogen, Fagersta",1500509,6653451,100,0,Västmanland,Fagersta,Västmanland,Fagersta,,2016-05-21,,2016-05-21,,Inventering-mittkoordinat,,False,False,,False,Blandskog,,,,,,,,,,,,, ,,,,,,,Sten Mu Yu Widhe,Sten Mu Yu Widhe,"Birgitta Widhe, Sten Mu Yu Widhe",,,2,
3761669,93468,Godkänd baserat på observatörens uppgifter,,Rödklöver,Trifolium pratense,L.,noterad,,blomning,,,,,,,"Broarna, ost järnvägsspåret",1513210,6655073,25,0,Västmanland,Norberg,Västmanland,Karbenning,,2011-06-11,,2011-06-11,,,,False,False,,False,,Kulturmark längs järnväg och enkel bilväg,,,,,,,,,,,, ,,,,,,,Bengt Stridh,Bengt Stridh,"Lasse Gustavsson, Britt Halling, Bengt Stridh",,,2,
61588815,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,"Karbenning by, vid dammen/ån",1516694,6654655,100,0,Västmanland,Norberg,Västmanland,Karbenning,,2016-07-13,,2016-07-13,,,,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Bo Eriksson,Bo Eriksson,Bo Eriksson,,,2,
62267927,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Avesta Döda fallen,1521680,6669660,100,0,Dalarna,Avesta,Dalarna,Avesta,,2015-07-12,,2015-07-12,,Dalafloran [980]   Dabs inv.,,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Janet Jandér, Urban Gunnarsson, Inge Palmqvist",,Dalaflorans databas,2,
62351412,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Krylbo jvgstn.,1523050,6667150,100,0,Dalarna,Avesta,Dalarna,Folkärna,,2009-01-01,,2009-12-31,,Dalafloran [113],,False,False,,False,,järnvägsområde,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Anna Knöppel,,Dalaflorans databas,2,
62994696,93468,Godkänd baserat på observatörens uppgifter,,Rödklöver,Trifolium pratense,L.,noterad, , , ,,,,,Västanfors sn,"Semla, avfallsanläggning",1497938,6655701,100,0,Västmanland,Fagersta,Västmanland,Fagersta,,2016-08-16,,2016-08-16,,,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Ralf Lundmark,Ralf Lundmark,Ralf Lundmark,,,2,
72215843,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,"Ombenning, vägkant och runt lada ca 500 m S om byn",1508731,6650799,25,0,Västmanland,Fagersta,Västmanland,Västervåla,,2018-07-09,,2018-07-09,,,,False,False, ,False,,,,,,,,,,,,,, ,,,,,,,Anders Jacobson,Anders Jacobson,Anders Jacobson,,,2,
73009137,93468,Godkänd baserat på observatörens uppgifter,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,"Ombenning, skogsväg N om",1507621,6652351,749,0,Västmanland,Fagersta,Västmanland,Västervåla,,2018-09-05,,2018-09-05,,,,False,False,,False,,"Skogsväg, skogsvägkant",,,,,,,,,,,, ,,,,,,,Einar Marklund,Einar Marklund,"Lise-Lotte Norin, Einar Marklund",,,2,
73150113,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,blomning,,,,,,,Hästvreten,1519328,6659524,25,0,Västmanland,Norberg,Västmanland,Karbenning,,2018-09-16,,2018-09-16,,,,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Bo Eriksson,Bo Eriksson,Bo Eriksson,,,2,
73185052,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,blomning,,,,,,,"Hökmora, NV Järnvägsövergången",1519441,6660079,10,0,Västmanland,Norberg,Västmanland,Karbenning,,2018-09-16,,2018-09-16,,,,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Bo Eriksson,Bo Eriksson,Bo Eriksson,,,2,
80731743,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Sörbo,1489636,6659058,100,0,Dalarna,Smedjebacken,Dalarna,Söderbärke,,2019-06-27,,2019-06-27,,Dalafloran [1218],,False,False,,False,,vägkant,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Janet Jandér, Sören Nyström, Inge Palmqvist",,Dalaflorans databas,2,
86832159,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Avesta centrum,1521559,6669605,75,0,Dalarna,Avesta,Dalarna,Avesta,,2013-08-06,,2013-08-06,,,,False,False,,False,,,,,,,,,,,,,, ,,,Magnus Stenmark,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
86832177,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Hökmora,1519535,6660228,75,0,Västmanland,Norberg,Västmanland,Karbenning,,2015-08-17,,2015-08-17,,,,False,False,,False,,,,,,,,,,,,,, ,,,Karin Norlin,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
86832178,93468,Godkänd baserat på observatörens uppgifter,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Hökmora,1519535,6660228,75,0,Västmanland,Norberg,Västmanland,Karbenning,,2015-08-17,,2015-08-17,,,,False,False,,False,,,,,,,,,,,,,, ,,,Karin Norlin,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
86832649,93468,Ovaliderad,,Rödklöver,Trifolium pratense,L.,noterad,,,,,,,,,Vallvik,1490884,6657065,75,0,Dalarna,Smedjebacken,Dalarna,Söderbärke,,2013-07-11,,2013-07-11,,,,False,False,,False,,,,,,,,,,,,,, ,,,Daniel Segerlind,,,,Magnus Stenmark,Magnus Stenmark,Magnus Stenmark,,,2,
